"Citation: Ryland Thomas and Samuel H. Williamson, 'What Was the U.K. GDP Then?' The Consistent Series, MeasuringWorth, 2018. "
"Year","Nominal GDP (million of pounds)","Real GDP (millions of 2013 pounds)","GDP Deflator (index 2015 = 100)","Population (in thousands)","Nominal GDP per capita (current pounds)","Real GDP per capita (2013 pounds)"
"1700","82","10,674","0.77","6,580.00","12.46","1,623.00"
"1701","85","11,631","0.73","6,610.00","12.85","1,759.00"
"1702","83","11,331","0.73","6,660.00","12.41","1,702.00"
"1703","77","10,605","0.72","6,710.00","11.42","1,581.00"
"1704","93","12,625","0.74","6,740.00","13.78","1,873.00"
"1705","87","11,983","0.72","6,750.00","12.81","1,774.00"
"1706","71","10,148","0.70","6,770.00","10.51","1,498.00"
"1707","79","11,401","0.69","6,800.00","11.58","1,676.00"
"1708","87","12,135","0.71","6,830.00","12.68","1,776.00"
"1709","82","10,513","0.78","6,860.00","11.95","1,533.00"
"1710","77","9,558","0.80","6,880.00","11.16","1,389.00"
"1711","78","10,422","0.75","6,880.00","11.29","1,514.00"
"1712","76","10,412","0.73","6,880.00","11.02","1,513.00"
"1713","75","9,965","0.75","6,890.00","10.81","1,445.00"
"1714","83","10,962","0.76","6,920.00","11.99","1,584.00"
"1715","77","10,654","0.73","6,930.00","11.15","1,537.00"
"1716","81","11,057","0.73","6,970.00","11.55","1,585.00"
"1717","86","11,680","0.74","7,020.00","12.28","1,663.00"
"1718","91","12,340","0.73","7,070.00","12.82","1,745.00"
"1719","87","12,123","0.72","7,120.00","12.28","1,703.00"
"1720","96","12,896","0.75","7,100.00","13.55","1,817.00"
"1721","89","12,393","0.71","7,100.00","12.48","1,747.00"
"1722","88","12,525","0.70","7,100.00","12.33","1,763.00"
"1723","87","12,224","0.72","7,130.00","12.26","1,714.00"
"1724","87","12,102","0.72","7,160.00","12.09","1,690.00"
"1725","91","12,418","0.73","7,190.00","12.60","1,727.00"
"1726","90","12,034","0.75","7,250.00","12.39","1,661.00"
"1727","88","11,961","0.74","7,280.00","12.07","1,642.00"
"1728","96","12,326","0.78","7,220.00","13.28","1,708.00"
"1729","89","11,641","0.76","7,110.00","12.46","1,638.00"
"1730","85","11,908","0.71","7,030.00","12.07","1,694.00"
"1731","83","11,719","0.71","7,020.00","11.77","1,669.00"
"1732","85","12,497","0.68","7,050.00","12.07","1,773.00"
"1733","88","12,774","0.69","7,080.00","12.39","1,804.00"
"1734","88","12,728","0.69","7,140.00","12.27","1,781.00"
"1735","87","12,426","0.70","7,200.00","12.12","1,726.00"
"1736","93","13,350","0.70","7,250.00","12.84","1,841.00"
"1737","87","12,635","0.69","7,290.00","11.92","1,734.00"
"1738","87","12,871","0.68","7,310.00","11.92","1,760.00"
"1739","87","12,785","0.68","7,350.00","11.85","1,739.00"
"1740","93","12,570","0.74","7,390.00","12.53","1,702.00"
"1741","96","12,937","0.75","7,400.00","13.04","1,748.00"
"1742","96","13,235","0.73","7,320.00","13.16","1,807.00"
"1743","93","12,924","0.72","7,320.00","12.71","1,766.00"
"1744","91","12,743","0.71","7,360.00","12.37","1,731.00"
"1745","90","12,931","0.70","7,430.00","12.11","1,739.00"
"1746","95","13,337","0.72","7,480.00","12.76","1,783.00"
"1747","98","13,945","0.70","7,510.00","13.08","1,856.00"
"1748","99","13,796","0.72","7,530.00","13.16","1,832.00"
"1749","100","13,714","0.73","7,580.00","13.14","1,810.00"
"1750","101","13,913","0.72","7,640.00","13.17","1,821.00"
"1751","99","13,612","0.73","7,700.00","12.85","1,769.00"
"1752","107","14,282","0.75","7,750.00","13.74","1,842.00"
"1753","106","14,409","0.73","7,820.00","13.51","1,842.00"
"1754","102","14,005","0.73","7,880.00","12.93","1,777.00"
"1755","103","14,429","0.71","7,940.00","12.98","1,818.00"
"1756","106","14,185","0.75","8,000.00","13.26","1,772.00"
"1757","120","15,002","0.80","8,040.00","14.91","1,865.00"
"1758","121","15,211","0.79","8,070.00","14.94","1,885.00"
"1759","114","15,451","0.74","8,100.00","14.11","1,907.00"
"1760","118","15,900","0.74","8,160.00","14.51","1,949.00"
"1761","120","16,533","0.73","8,220.00","14.66","2,012.00"
"1762","119","16,073","0.74","8,250.00","14.47","1,947.00"
"1763","125","16,021","0.78","8,250.00","15.22","1,943.00"
"1764","127","16,014","0.79","8,290.00","15.28","1,931.00"
"1765","127","15,884","0.80","8,360.00","15.19","1,900.00"
"1766","130","16,096","0.81","8,400.00","15.47","1,915.00"
"1767","135","16,207","0.83","8,430.00","16.01","1,922.00"
"1768","132","16,356","0.81","8,460.00","15.57","1,933.00"
"1769","134","17,281","0.77","8,520.00","15.71","2,028.00"
"1770","131","16,808","0.78","8,590.00","15.28","1,958.00"
"1771","140","17,122","0.82","8,650.00","16.16","1,981.00"
"1772","140","16,685","0.84","8,710.00","16.12","1,915.00"
"1773","143","16,983","0.84","8,790.00","16.28","1,933.00"
"1774","142","16,605","0.86","8,860.00","16.08","1,875.00"
"1775","148","17,135","0.86","8,950.00","16.52","1,914.00"
"1776","150","17,690","0.85","9,040.00","16.57","1,957.00"
"1777","158","18,202","0.87","9,130.00","17.33","1,993.00"
"1778","157","18,075","0.87","9,230.00","17.05","1,958.00"
"1779","152","18,026","0.84","9,320.00","16.34","1,934.00"
"1780","159","18,849","0.84","9,380.00","16.91","2,010.00"
"1781","183","19,386","0.94","9,480.00","19.29","2,044.00"
"1782","182","19,193","0.95","9,560.00","19.03","2,007.00"
"1783","177","19,094","0.93","9,590.00","18.51","1,991.00"
"1784","171","19,170","0.89","9,690.00","17.69","1,979.00"
"1785","171","19,036","0.90","9,780.00","17.45","1,946.00"
"1786","184","19,369","0.95","9,890.00","18.56","1,959.00"
"1787","179","19,046","0.94","10,010.00","17.93","1,903.00"
"1788","173","19,003","0.91","10,120.00","17.13","1,878.00"
"1789","174","19,428","0.90","10,250.00","17.02","1,895.00"
"1790","192","20,903","0.92","10,370.00","18.55","2,015.00"
"1791","194","20,992","0.93","10,510.00","18.48","1,998.00"
"1792","214","21,836","0.98","10,630.00","20.11","2,054.00"
"1793","208","21,482","0.97","10,750.00","19.37","1,999.00"
"1794","203","20,786","0.98","10,850.00","18.75","1,916.00"
"1795","248","23,044","1.08","10,980.00","22.59","2,099.00"
"1796","260","23,458","1.11","11,090.00","23.41","2,114.00"
"1797","260","23,288","1.12","11,240.00","23.16","2,071.00"
"1798","275","23,511","1.17","11,380.00","24.13","2,067.00"
"1799","304","24,129","1.26","11,510.00","26.39","2,095.00"
"1800","347","25,305","1.37","11,600.00","29.92","2,182.00"
"1801","370","25,533","1.45","11,680.00","31.64","2,185.00"
"1802","320","25,831","1.24","11,790.00","27.16","2,191.00"
"1803","316","25,292","1.25","11,930.00","26.48","2,120.00"
"1804","336","25,270","1.33","12,100.00","27.77","2,089.00"
"1805","367","26,803","1.37","12,280.00","29.88","2,183.00"
"1806","372","26,700","1.39","12,460.00","29.85","2,143.00"
"1807","398","28,444","1.40","12,640.00","31.47","2,251.00"
"1808","388","27,121","1.43","12,800.00","30.33","2,118.00"
"1809","425","27,974","1.52","12,980.00","32.72","2,156.00"
"1810","468","29,777","1.57","13,140.00","35.59","2,265.00"
"1811","448","29,470","1.52","13,320.00","33.60","2,212.00"
"1812","455","28,258","1.61","13,530.00","33.66","2,089.00"
"1813","490","29,792","1.64","13,740.00","35.64","2,168.00"
"1814","468","29,134","1.61","13,960.00","33.50","2,087.00"
"1815","483","32,243","1.50","14,190.00","34.00","2,272.00"
"1816","429","30,556","1.40","14,430.00","29.73","2,118.00"
"1817","445","31,070","1.43","14,660.00","30.37","2,119.00"
"1818","463","31,040","1.49","14,890.00","31.07","2,085.00"
"1819","432","30,532","1.41","15,100.00","28.60","2,021.00"
"1820","438","33,011","1.33","15,340.00","28.57","2,153.00"
"1821","420","33,573","1.25","15,590.00","26.93","2,154.00"
"1822","400","34,220","1.17","15,840.00","25.23","2,160.00"
"1823","418","35,227","1.19","16,100.00","25.96","2,188.00"
"1824","449","37,156","1.21","16,340.00","27.51","2,275.00"
"1825","497","37,994","1.31","16,560.00","29.98","2,294.00"
"1826","435","35,967","1.21","16,780.00","25.95","2,143.00"
"1827","453","38,736","1.17","17,000.00","26.65","2,279.00"
"1828","453","38,855","1.17","17,240.00","26.26","2,254.00"
"1829","438","39,184","1.12","17,470.00","25.07","2,243.00"
"1830","455","40,940","1.11","17,700.00","25.68","2,313.00"
"1831","447","42,193","1.06","17,940.00","24.94","2,352.00"
"1832","445","42,415","1.05","18,140.00","24.54","2,338.00"
"1833","435","42,890","1.02","18,340.00","23.74","2,339.00"
"1834","461","44,376","1.04","18,560.00","24.82","2,391.00"
"1835","486","47,061","1.03","18,800.00","25.86","2,503.00"
"1836","526","48,297","1.09","19,030.00","27.63","2,537.00"
"1837","511","47,884","1.07","19,240.00","26.54","2,488.00"
"1838","537","50,202","1.07","19,460.00","27.57","2,580.00"
"1839","558","51,297","1.09","19,720.00","28.30","2,601.00"
"1840","536","51,514","1.04","19,970.00","26.83","2,579.00"
"1841","522","50,099","1.04","20,200.00","25.85","2,480.00"
"1842","495","49,659","1.00","20,410.00","24.25","2,433.00"
"1843","497","51,325","0.97","20,620.00","24.08","2,489.00"
"1844","536","55,057","0.97","20,840.00","25.71","2,642.00"
"1845","571","57,728","0.99","21,050.00","27.12","2,742.00"
"1846","588","60,512","0.97","21,260.00","27.67","2,846.00"
"1847","617","60,063","1.03","21,480.00","28.72","2,796.00"
"1848","586","61,584","0.95","21,690.00","27.01","2,839.00"
"1849","594","62,349","0.95","21,910.00","27.10","2,846.00"
"1850","548","61,864","0.89","22,120.00","24.75","2,796.00"
"1851","565","64,512","0.88","22,340.00","25.28","2,888.00"
"1852","587","66,499","0.88","22,560.00","25.99","2,947.00"
"1853","661","68,597","0.96","22,790.00","29.01","3,010.00"
"1854","719","71,217","1.01","23,020.00","31.26","3,094.00"
"1855","721","70,589","1.02","23,240.00","31.01","3,037.00"
"1856","760","73,856","1.03","23,470.00","32.38","3,147.00"
"1857","752","74,387","1.01","23,690.00","31.76","3,140.00"
"1858","715","74,434","0.96","23,910.00","29.88","3,113.00"
"1859","767","77,315","0.99","24,140.00","31.78","3,203.00"
"1860","784","79,233","0.99","24,360.00","32.17","3,253.00"
"1861","818","80,311","1.02","24,590.00","33.27","3,267.00"
"1862","820","79,900","1.03","24,860.00","33.00","3,214.00"
"1863","894","84,167","1.06","25,140.00","35.56","3,348.00"
"1864","943","85,119","1.11","25,430.00","37.10","3,348.00"
"1865","960","88,663","1.08","25,710.00","37.34","3,448.00"
"1866","992","89,714","1.11","26,000.00","38.14","3,450.00"
"1867","980","90,112","1.09","26,300.00","37.27","3,427.00"
