"MMM YYYY","GBP/USD"
"Jan 1971",0.41568
"Feb 1971",0.41361
"Mar 1971",0.41344
"Apr 1971",0.41358
"May 1971",0.41343
"Jun 1971",0.41342
"Jul 1971",0.41348
"Aug 1971",0.41073
"Sep 1971",0.40496
"Oct 1971",0.40167
"Nov 1971",0.40107
"Dec 1971",0.39579
"Jan 1972",0.38904
"Feb 1972",0.38409
"Mar 1972",0.38197
"Apr 1972",0.38311
"May 1972",0.38279
"Jun 1972",0.38923
"Jul 1972",0.40905
"Aug 1972",0.40812
"Sep 1972",0.40965
"Oct 1972",0.41758
"Nov 1972",0.42525
"Dec 1972",0.42647
"Jan 1973",0.42440
"Feb 1973",0.41198
"Mar 1973",0.40447
"Apr 1973",0.40261
"May 1973",0.39516
"Jun 1973",0.38816
"Jul 1973",0.39410
"Aug 1973",0.40395
"Sep 1973",0.41351
"Oct 1973",0.41167
"Nov 1973",0.41895
"Dec 1973",0.43151
"Jan 1974",0.44965
"Feb 1974",0.43959
"Mar 1974",0.42724
"Apr 1974",0.41865
"May 1974",0.41431
"Jun 1974",0.41838
"Jul 1974",0.41849
"Aug 1974",0.42632
"Sep 1974",0.43168
"Oct 1974",0.42864
"Nov 1974",0.43008
"Dec 1974",0.42930
"Jan 1975",0.42332
"Feb 1975",0.41740
"Mar 1975",0.41358
"Apr 1975",0.42183
"May 1975",0.43094
"Jun 1975",0.43853
"Jul 1975",0.45777
"Aug 1975",0.47296
"Sep 1975",0.47998
"Oct 1975",0.48618
"Nov 1975",0.48818
"Dec 1975",0.49455
"Jan 1976",0.49296
"Feb 1976",0.49354
"Mar 1976",0.51474
"Apr 1976",0.54162
"May 1976",0.55312
"Jun 1976",0.56689
"Jul 1976",0.56022
"Aug 1976",0.56090
"Sep 1976",0.57898
"Oct 1976",0.61060
"Nov 1976",0.61048
"Dec 1976",0.59581
"Jan 1977",0.58396
"Feb 1977",0.58468
"Mar 1977",0.58227
"Apr 1977",0.58172
"May 1977",0.58193
"Jun 1977",0.58169
"Jul 1977",0.58052
"Aug 1977",0.57483
"Sep 1977",0.57366
"Oct 1977",0.56461
"Nov 1977",0.55011
"Dec 1977",0.53921
"Jan 1978",0.51672
