"Note: Current data is only available till 2017.
"
"Citation: Lawrence H. Officer and Samuel H. Williamson, 'The Price of Gold, 1257-2014,' MeasuringWorth, 2018. "
"Year","U.S. Official Price (U.S. dollars per fine ounce end of year)"
"1786","19.49"
"1787","19.49"
"1788","19.49"
"1789","19.49"
"1790","19.49"
"1791","19.49"
"1792","19.39"
"1793","19.39"
"1794","19.39"
"1795","19.39"
"1796","19.39"
"1797","19.39"
"1798","19.39"
"1799","19.39"
"1800","19.39"
"1801","19.39"
"1802","19.39"
"1803","19.39"
"1804","19.39"
"1805","19.39"
"1806","19.39"
"1807","19.39"
"1808","19.39"
"1809","19.39"
"1810","19.39"
"1811","19.39"
"1812","19.39"
"1813","19.39"
"1814","19.39"
"1815","19.39"
"1816","19.39"
"1817","19.39"
"1818","19.39"
"1819","19.39"
"1820","19.39"
"1821","19.39"
"1822","19.39"
"1823","19.39"
"1824","19.39"
"1825","19.39"
"1826","19.39"
"1827","19.39"
"1828","19.39"
"1829","19.39"
"1830","19.39"
"1831","19.39"
"1832","19.39"
"1833","19.39"
"1834","20.69"
"1835","20.69"
"1836","20.69"
"1837","20.67"
"1838","20.67"
"1839","20.67"
"1840","20.67"
"1841","20.67"
"1842","20.67"
"1843","20.67"
"1844","20.67"
"1845","20.67"
"1846","20.67"
"1847","20.67"
"1848","20.67"
"1849","20.67"
"1850","20.67"
"1851","20.67"
"1852","20.67"
"1853","20.67"
"1854","20.67"
"1855","20.67"
"1856","20.67"
"1857","20.67"
"1858","20.67"
"1859","20.67"
"1860","20.67"
"1861","20.67"
"1862","20.67"
"1863","20.67"
"1864","20.67"
"1865","20.67"
"1866","20.67"
"1867","20.67"
"1868","20.67"
"1869","20.67"
"1870","20.67"
"1871","20.67"
"1872","20.67"
"1873","20.67"
"1874","20.67"
"1875","20.67"
"1876","20.67"
"1877","20.67"
"1878","20.67"
"1879","20.67"
"1880","20.67"
"1881","20.67"
"1882","20.67"
"1883","20.67"
"1884","20.67"
"1885","20.67"
"1886","20.67"
"1887","20.67"
"1888","20.67"
"1889","20.67"
"1890","20.67"
"1891","20.67"
"1892","20.67"
"1893","20.67"
"1894","20.67"
"1895","20.67"
"1896","20.67"
"1897","20.67"
"1898","20.67"
"1899","20.67"
"1900","20.67"
"1901","20.67"
"1902","20.67"
"1903","20.67"
"1904","20.67"
"1905","20.67"
"1906","20.67"
"1907","20.67"
"1908","20.67"
"1909","20.67"
"1910","20.67"
"1911","20.67"
"1912","20.67"
"1913","20.67"
"1914","20.67"
"1915","20.67"
"1916","20.67"
"1917","20.67"
"1918","20.67"
"1919","20.67"
"1920","20.67"
"1921","20.67"
"1922","20.67"
"1923","20.67"
"1924","20.67"
"1925","20.67"
"1926","20.67"
"1927","20.67"
"1928","20.67"
"1929","20.67"
"1930","20.67"
"1931","20.67"
"1932","20.67"
"1933","20.67"
"1934","35.00"
"1935","35.00"
"1936","35.00"
"1937","35.00"
"1938","35.00"
"1939","35.00"
"1940","35.00"
"1941","35.00"
"1942","35.00"
"1943","35.00"
"1944","35.00"
"1945","35.00"
"1946","35.00"
"1947","35.00"
"1948","35.00"
"1949","35.00"
"1950","35.00"
"1951","35.00"
"1952","35.00"
"1953","35.00"
"1954","35.00"
"1955","35.00"
"1956","35.00"
"1957","35.00"
"1958","35.00"
"1959","35.00"
"1960","35.00"
"1961","35.00"
"1962","35.00"
"1963","35.00"
"1964","35.00"
"1965","35.00"
"1966","35.00"
"1967","35.00"
"1968","35.00"
"1969","35.00"
"1970","35.00"
"1971","35.00"
"1972","38.00"
"1973","42.22"
"1974","42.22"
"1975","42.22"
"1976","42.22"
"1977","42.22"
"1978","42.22"
"1979","42.22"
"1980","42.22"
"1981","42.22"
"1982","42.22"
"1983","42.22"
"1984","42.22"
"1985","42.22"
"1986","42.22"
"1987","42.22"
"1988","42.22"
"1989","42.22"
"1990","42.22"
"1991","42.22"
"1992","42.22"
"1993","42.22"
"1994","42.22"
"1995","42.22"
"1996","42.22"
"1997","42.22"
"1998","42.22"
"1999","42.22"
"2000","42.22"
"2001","42.22"
"2002","42.22"
"2003","42.22"
"2004","42.22"
"2005","42.22"
"2006","42.22"
"2007","42.22"
"2008","42.22"
"2009","42.22"
"2010","42.22"
"2011","42.22"
"2012","42.22"
"2013","42.22"
"2014","42.22"
"2015","42.22"
"2016","42.22"
"2017","42.22"
