"Citation: Lawrence H. Officer and Samuel H. Williamson, 'The Price of Gold, 1257-2014,' MeasuringWorth, 2018. "
"Year","London Market Price (British &pound; [1718-1949] or U.S. $ [1950-2011] per fine ounce)"
"1718","4.31"
"1719","4.26"
"1720","4.31"
"1721","4.26"
"1722","4.25"
"1723","4.26"
"1724","4.25"
"1725","4.25"
"1726","4.25"
"1727","4.25"
"1728","4.28"
"1729","4.30"
"1730","4.29"
"1731","4.26"
"1732","4.26"
"1733","4.27"
"1734","4.26"
"1735","4.28"
"1736","4.26"
"1737","4.26"
"1738","4.26"
"1739","4.25"
"1740","4.25"
"1741","4.27"
"1742","4.28"
"1743","4.30"
"1744","4.31"
"1745","4.29"
"1746","4.25"
"1747","4.28"
"1748","4.26"
"1749","4.25"
"1750","4.26"
"1751","4.25"
"1752","4.26"
"1753","4.27"
"1754","4.25"
"1755","4.25"
"1756","4.25"
"1757","4.25"
"1758","4.30"
"1759","4.33"
"1760","4.30"
"1761","4.35"
"1762","4.32"
"1763","4.37"
"1764","4.26"
"1765","4.26"
"1766","4.31"
"1767","4.34"
"1768","4.32"
"1769","4.38"
"1770","4.37"
"1771","4.35"
"1772","4.35"
"1773","4.25"
"1774","4.24"
"1775","4.23"
"1776","4.23"
"1777","4.23"
"1778","4.23"
"1779","4.23"
"1780","4.23"
"1781","4.23"
"1782","4.23"
"1783","4.25"
"1784","4.25"
"1785","4.24"
"1786","4.23"
"1787","4.23"
"1788","4.23"
"1789","4.23"
"1790","4.23"
"1791","4.23"
"1792","4.23"
"1793","4.23"
"1794","4.23"
"1795","4.23"
"1796","4.23"
"1797","4.23"
"1798","4.25"
"1799","4.24"
"1800","4.26"
"1801","4.29"
"1802","4.31"
"1803","4.34"
"1804","4.36"
"1805","4.36"
"1806","4.42"
"1807","4.47"
"1808","4.52"
"1809","4.58"
"1810","4.63"
"1811","5.19"
"1812","5.48"
"1813","5.76"
"1814","5.21"
"1815","4.99"
"1816","4.36"
"1817","4.33"
"1818","4.44"
"1819","4.36"
"1820","4.25"
"1821","4.25"
"1822","4.24"
"1823","4.23"
"1824","4.23"
"1825","4.24"
"1826","4.23"
"1827","4.23"
"1828","4.23"
"1829","4.24"
"1830","4.24"
"1831","4.25"
"1832","4.24"
"1833","4.24"
"1834","4.24"
"1835","4.24"
"1836","4.24"
"1837","4.24"
"1838","4.24"
"1839","4.25"
"1840","4.24"
"1841","4.24"
"1842","4.24"
"1843","4.24"
"1844","4.24"
"1845","4.24"
"1846","4.24"
"1847","4.24"
"1848","4.24"
"1849","4.24"
"1850","4.24"
"1851","4.24"
"1852","4.24"
"1853","4.24"
"1854","4.24"
"1855","4.24"
"1856","4.24"
"1857","4.24"
"1858","4.24"
"1859","4.24"
"1860","4.24"
"1861","4.24"
"1862","4.24"
"1863","4.24"
"1864","4.24"
"1865","4.24"
"1866","4.24"
"1867","4.24"
"1868","4.24"
"1869","4.24"
"1870","4.24"
"1871","4.24"
"1872","4.24"
"1873","4.24"
"1874","4.24"
"1875","4.24"
"1876","4.24"
"1877","4.24"
"1878","4.24"
"1879","4.24"
"1880","4.24"
"1881","4.24"
